id,longitude,latitude,region,status_group
8969,36.18409024,-6.1323439,Dodoma,non functional
15949,35.60588223,-6.28653036,Dodoma,non functional
436,35.99887343,-4.7090484,Dodoma,functional needs repair
30165,36.02936303,-5.63508031,Dodoma,non functional
70405,36.14576233,-6.21848272,Dodoma,non functional
32473,36.13150348,-5.57115605,Dodoma,functional needs repair
62650,35.77900139,-6.41364489,Dodoma,non functional
6234,36.39466046,-6.62513087,Dodoma,functional
57808,35.61907063,-6.60109845,Dodoma,non functional
25936,35.49230623,-6.09676785,Dodoma,functional
44735,35.45466177,-5.179691,Dodoma,non functional
29306,36.05043143,-4.8574669,Dodoma,non functional
53705,35.81050729,-4.60161087,Dodoma,functional
21413,35.6241348,-6.04198724,Dodoma,non functional
47725,35.87179267,-6.31066563,Dodoma,functional
53128,36.71146096,-6.4489971,Dodoma,functional
47363,36.06161635,-6.26179888,Dodoma,non functional
44183,35.69067926,-5.8532389,Dodoma,functional
68796,35.92230259,-4.98984381,Dodoma,functional
25743,35.58848995,-6.30340724,Dodoma,functional
11655,36.63661559,-6.12743123,Dodoma,functional
15386,35.89355529,-6.38388296,Dodoma,functional
45310,36.05711887,-6.25876924,Dodoma,non functional
73522,35.61295497,-5.77465855,Dodoma,non functional
4610,36.44822366,-5.88570652,Dodoma,functional
15540,36.6493655,-6.24942532,Dodoma,non functional
6678,35.59864465,-6.21435811,Dodoma,functional
17177,35.48536278,-6.09776837,Dodoma,functional
48033,35.79284444,-4.51556434,Dodoma,functional needs repair
38698,36.11237521,-4.91391433,Dodoma,non functional
15361,36.59151287,-5.99233589,Dodoma,non functional
66531,36.20120732,-6.49998881,Dodoma,non functional
28231,35.45135846,-5.82338063,Dodoma,functional
6795,35.76897487,-5.11657282,Dodoma,functional
45451,35.89188175,-5.30796169,Dodoma,functional
33560,36.58507273,-6.23931658,Dodoma,functional
17439,35.67164042,-6.36889807,Dodoma,functional
27936,36.41328924,-6.96643168,Dodoma,functional
26564,36.15169007,-6.04346858,Dodoma,functional
67341,36.3136682,-6.70388821,Dodoma,functional
71265,36.09681446,-6.04616249,Dodoma,functional
64623,36.41079309,-6.44711724,Dodoma,functional
5855,35.3539463,-6.23537476,Dodoma,functional
68700,36.18016565,-6.09832221,Dodoma,functional
56499,35.82778995,-4.35100079,Dodoma,functional
11551,36.7388193,-6.08730528,Dodoma,functional
57354,35.3727131,-5.33699681,Dodoma,functional
58876,35.89685082,-6.16825918,Dodoma,non functional
24050,36.22240645,-4.73788346,Dodoma,non functional
52305,36.30924386,-6.3596623,Dodoma,non functional
640,35.87820667,-4.87949239,Dodoma,functional
4880,35.91026713,-6.25174075,Dodoma,non functional
3529,35.90486393,-6.33668742,Dodoma,functional
22039,36.46419315,-5.7894503,Dodoma,non functional
20019,35.93619127,-5.00512835,Dodoma,non functional
5639,35.88192871,-6.68434718,Dodoma,functional needs repair
